Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.55222905165282E-05,-8.85336107817741E-06,-0.0639491512318362,0,0,0,3.09671179040844,0.00515168087820118,-1.75925918332559E-06,-6.40788361488911E-08,0.00695363881399617,3.50765131400474E-09,0.00545470801171174,0,0,0,0,0,0,package://sz13/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/base_link.STL,,pelvis_link-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.00400942007494731,-0.00956228467483808,0.000179885446583303,0,0,0,0.820818682208529,0.00159239968926435,-3.13540272848713E-05,8.41958730807407E-07,0.001231838376333,7.22322267732067E-06,0.00123646092704197,0,0,0,0,0,0,package://sz13/meshes/left_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/left_hip_pitch_link.STL,,left_hip_pitch_link-2,Origin_left_hip_pitch_joint,Axis_left_hip_pitch_joint,left_hip_pitch_joint,revolute,0,0.173570432122977,-0.123707828422175,-0.261813630568902,-0.0103104108483586,0.00276276767391973,base_link,0,1,0,178,3.927,-1.4835,1.4835,,,,,,,,
left_hip_roll_link,0.00611002640205333,7.83908458661248E-05,-0.094477445631839,0,0,0,1.0115045948202,0.00231550965051325,1.02654268017983E-05,-1.5625925678549E-05,0.00170948229319213,1.02075499936341E-06,0.00181938999431728,0,0,0,0,0,0,package://sz13/meshes/left_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/left_hip_roll_link.STL,,left_hip_roll_link-1,Origin_left_hip_roll_joint,Axis_left_hip_roll_joint,left_hip_roll_joint,revolute,0,0,0,0.2616930441702,0.0042635108080635,-0.0159170174851647,left_hip_pitch_link,0.999864239354484,0.016477343841731,0,107,3.1416,-0.4887,1.4835,,,,,,,,
left_upper_leg_link,0.0130438264480122,-0.00914386516755032,-0.151342866920967,0,0,0,0.560634652094511,0.00560896822073505,4.41377275809423E-05,-2.14244490856762E-05,0.00592553267850667,-0.000556354327987142,0.00157565935586805,0,0,0,0,0,0,package://sz13/meshes/left_upper_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/left_upper_leg_link.STL,,left_upper_leg-1,Origin_left_hip_yaw_joint,Axis_left_hip_yaw_joint,left_hip_yaw_joint,revolute,0,0,-0.120504773574492,5.81696052912462E-05,0,0.0164780895405046,left_hip_roll_link,0,0,-1,96,3.927,-0.4887,1.4835,,,,,,,,
left_lower_leg_link,0.00638335372934221,0.000512567054763866,-0.0938662327912533,0,0,0,2.27062997307421,0.0115661169501687,1.89445218099799E-05,0.000129285504160761,0.0126176696191811,-0.000172240693736024,0.00375649213036897,0,0,0,0,0,0,package://sz13/meshes/left_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/left_lower_leg_link.STL,,left_lower_leg-1,Origin_left_knee_joint,Axis_left_knee_joint,left_knee_joint,revolute,1.25365310824077E-05,0,-0.289192743496543,0,0,-0.00276262082740339,left_upper_leg_link,0,1,0,127,6.2832,0,2.4958,,,,,,,,
left_ankle_link,7.6579622482198E-06,-3.78126873396001E-07,-3.979951513855E-05,0,0,0,0.00510358034137658,1.8689546484446E-07,7.1814129933489E-12,-6.98877943597691E-11,1.86968086435267E-07,-5.24607757832813E-12,2.51904123885194E-07,0,0,0,0,0,0,package://sz13/meshes/left_ankle_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/left_ankle_link.STL,,left_ankle_link-1,Origin_left_foot_roll_joint,Axis_left_foot_roll_joint,left_foot_roll_joint,revolute,0.010927,0.0009217,-0.39513,0,0.01031,0,left_lower_leg_link,1,0,0,36,3.1416,-0.2618,0.2618,,,,,,,,
left_foot_link,0.0484568288254698,-0.000146461005782195,-0.0290129717531438,0,0,0,0.251526856423922,0.000217080396195814,1.65755899314945E-06,3.45401149438163E-05,0.00168090511929273,1.63184827515113E-06,0.00177078655087476,0,0,0,0,0,0,package://sz13/meshes/left_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/left_foot_link.STL,,left_foot_link-1,Origin_left_foot_pitch_joint,Axis_left_foot_pitch_joint,left_foot_pitch_joint,revolute,0,0,0,0,0,0,left_ankle_link,0,1,0,36,3.1416,-0.2094,0.4887,,,,,,,,
right_hip_pitch_link,-0.00414338806141665,0.00922386501617278,0.00230146333339867,0,0,0,0.820813540950664,0.00159151556269355,3.57654676587125E-05,7.24157572617782E-06,0.00122939680588748,5.19434602607E-06,0.001239914971477,0,0,0,0,0,0,package://sz13/meshes/right_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/right_hip_pitch_link.STL,,right_hip_pitch-1,Origin_right_hip_pitch_joint,Axis_right_hip_pitch_joint,right_hip_pitch_joint,revolute,0,-0.173570432124216,-0.123707828423035,0.000119443097044416,-0.010309761721823,-0.0172268651979019,base_link,-0.0139698512930332,0.965813429505907,0.258861473844388,178,3.927,-1.4835,1.4835,,,,,,,,
right_hip_roll_link,0.00611051773025041,-0.0244781634740713,-0.0912514343354174,0,0,0,1.01150419326325,0.00231567876421066,-3.77322516368116E-06,-1.5145687791799E-05,0.00171732230005261,2.86321820082214E-05,0.00181137134539442,0,0,0,0,0,0,package://sz13/meshes/right_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/right_hip_roll_link.STL,,right_hip_roll-1,Origin_right_hip_roll_joint,Axis_right_hip_roll_joint,right_hip_roll_joint,revolute,0,0,0,0.261843313523483,0,0.0144633287805272,right_hip_pitch_link,1,0,0,107,3.1416,-0.4887,1.4835,,,,,,,,
right_upper_leg_link,0.0134992892371957,0.00929796621622275,-0.151343276544616,0,0,0,0.560936958757304,0.00560741145725866,-5.05429453331357E-05,-1.24993943873457E-05,0.00593287952651196,0.000555270501815376,0.00157992484595551,0,0,0,0,0,0,package://sz13/meshes/right_upper_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://sz13/meshes/right_upper_leg_link.STL,,right_upper_leg-1,Origin_right_hip_yaw_joint,Axis_right_hip_yaw_joint,right_hip_yaw_joint,revolute,0,-0.0311986772853,-0.116441682213508,-0.261763524826847,0.000342118960537933,-0.0132485074251285,right_hip_roll_link,0.00375914607308922,0,-0.999992934385439,96,3.927,-0.4887,1.4835,,,,,,,,
